,Platform,Year,Global_Sales,Year_mean
187,PS3,2014.0,50.96,2010.8197852760736
188,PC,2015.0,8.07,2008.7730646871687
189,WiiU,2015.0,16.38,2013.5944055944055
190,PSP,2015.0,0.12,2008.7218045112782
191,3DS,2015.0,26.99,2013.062
192,PS3,2015.0,18.22,2010.8197852760736
193,Wii,2015.0,1.55,2008.9627906976743
194,PSV,2015.0,7.1000000000000005,2014.0339805825242
195,XOne,2015.0,57.66,2014.7887323943662
196,X360,2015.0,13.05,2009.8825910931173
197,PS4,2015.0,115.3,2015.0059523809523
198,PS4,2016.0,39.25,2015.0059523809523
199,WiiU,2016.0,3.29,2013.5944055944055
200,PC,2016.0,2.6,2008.7730646871687
201,3DS,2016.0,6.6000000000000005,2013.062
202,PSV,2016.0,3.4,2014.0339805825242
203,PS3,2016.0,2.59,2010.8197852760736
204,X360,2016.0,0.8300000000000001,2009.8825910931173
205,XOne,2016.0,12.37,2014.7887323943662
206,PSV,2017.0,0.02,2014.0339805825242
207,PS4,2017.0,0.03,2015.0059523809523
208,DS,2020.0,0.29,2008.2011251758088
